Time,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64
29.13,31,36,86,527,1165,1563,1324,1187,971,947,825,756,643,474,390,319,237,187,192,167,145,148,139,107,89,61,48,18,12,10,7,8,5,4,8,12,11,9,15,7,7,15,12,16,11,14,12,8,8,13,9,5,4,5,5,2,5,6,2,4,2,4,8,1
29.135,7,27,73,324,1188,1565,1550,1209,1040,935,843,723,614,462,362,328,247,193,175,164,144,143,129,130,94,61,40,17,9,5,5,15,4,3,5,8,12,7,15,12,8,9,12,14,13,16,11,14,7,10,8,10,4,5,4,6,3,7,1,3,5,1,5,8
29.14,19,32,41,431,1254,1570,1461,1165,990,970,822,724,625,459,391,315,246,204,173,158,134,146,131,119,104,57,54,21,14,6,5,6,10,8,4,6,8,13,6,13,15,3,12,8,15,15,10,17,11,7,12,8,10,5,2,8,5,3,6,3,3,1,5,2
29.145,18,12,51,553,1229,1575,1409,1129,966,907,817,749,592,483,432,328,257,229,165,141,148,143,135,128,90,69,42,19,14,9,7,4,6,12,6,4,5,8,11,6,16,11,9,8,12,13,15,11,15,11,10,12,3,14,4,5,6,3,7,3,1,4,4,2
29.15,17,16,69,478,1320,1466,1444,1145,998,911,825,723,617,471,401,323,277,226,185,157,150,139,129,130,86,66,41,14,14,10,9,4,7,4,9,11,4,6,8,6,10,13,10,11,9,11,13,15,15,11,12,10,9,9,10,2,8,5,5,6,2,3,1,3
29.155,8,17,67,616,1136,1497,1384,1227,980,904,794,730,637,469,405,360,280,221,198,159,158,139,141,122,76,68,26,16,13,8,8,6,9,2,4,10,8,4,8,5,10,9,12,15,9,11,10,19,10,8,18,9,11,7,7,12,5,5,5,4,5,5,0,2
29.16,15,3,51,546,1165,1483,1457,1152,999,893,874,748,638,510,402,326,271,226,174,163,145,137,136,132,78,60,35,20,8,4,11,7,6,8,5,6,7,12,3,8,7,8,9,12,10,11,12,6,13,19,11,13,11,11,7,9,9,7,6,5,5,4,2,3
29.165,4,23,36,366,1062,1613,1550,1290,1017,901,842,718,621,510,396,332,278,211,194,163,143,135,135,118,88,50,34,13,9,8,6,11,4,8,9,2,6,12,7,3,4,8,13,6,15,10,13,8,9,16,16,10,14,12,8,9,4,14,6,6,4,4,6,0
29.17,4,7,74,266,945,1560,1655,1369,1095,965,845,709,623,479,388,325,259,224,173,161,153,135,125,126,77,52,31,18,8,9,7,7,5,10,6,7,4,5,11,6,7,2,9,11,7,10,13,9,15,10,12,20,12,13,8,8,5,8,11,9,4,6,4,5
29.175,6,19,86,490,1051,1371,1443,1358,1104,960,831,744,593,488,416,322,281,188,195,175,151,146,124,117,83,61,36,15,13,6,6,6,8,6,10,8,5,4,7,7,10,5,5,8,8,5,14,13,13,9,9,13,19,16,10,8,7,7,8,10,9,6,4,5
